run_dir,model,dataset,config,Q,H,use_acceleration,test_mae,test_rmse,test_mape,num_params,epochs_trained,train_time_minutes,train_time_hours,best_val_mae,timestamp,metric_source
dcrnn_pems-bay_Acc_NoSG_LSTM_Q3,DCRNN,pems-bay,Acc_NoSG,3,12,True,1.0243619680404663,2.380547046661377,2.11950708180666,298049,4,18.66272898117701,0.3110454830196169,1.075831413269043,2025-11-07T09:51:56.395275,test_results
dcrnn_pems-bay_Acc_NoSG_LSTM_Q6,DCRNN,pems-bay,Acc_NoSG,6,12,True,1.4533807039260864,3.358752489089966,3.013483621180057,298049,10,28.848585335413613,0.4808097555902269,1.5241203308105469,2025-11-07T10:20:53.124394,test_results
dcrnn_pems-bay_Acc_SG_LSTM_Q12,DCRNN,pems-bay,Acc_SG,12,12,True,1.747323513031006,3.982796430587769,3.6109838634729385,298049,33,66.39340585867564,1.1065567643112606,1.8413118124008176,2025-11-06T20:37:22.718087,test_results
dcrnn_pems-bay_Acc_SG_LSTM_Q3,DCRNN,pems-bay,Acc_SG,3,12,True,0.9763584136962892,2.161673069000244,1.862327940762043,298049,4,19.308669396241505,0.3218111566040251,1.0141117572784424,2025-11-06T17:10:29.040022,test_results
dcrnn_pems-bay_Acc_SG_LSTM_Q6,DCRNN,pems-bay,Acc_SG,6,12,True,1.339649319648743,3.0288872718811035,2.651442773640156,298049,12,34.010835838317874,0.5668472639719646,1.4018675088882446,2025-11-06T18:24:36.646579,test_results
dcrnn_pems-bay_NoAcc_LSTM_Q12,DCRNN,pems-bay,NoAcc,12,12,False,1.9116731882095337,4.2521796226501465,3.971957787871361,297281,40,66.13213414351145,1.1022022357251908,2.0071706771850586,2025-11-06T19:30:52.529473,test_results
dcrnn_pems-bay_NoAcc_LSTM_Q3,DCRNN,pems-bay,NoAcc,3,12,False,1.3303390741348269,2.813983678817749,2.5479942560195923,297281,3,17.988589107990265,0.2998098184665044,1.3857349157333374,2025-11-06T16:51:05.405323,test_results
dcrnn_pems-bay_NoAcc_LSTM_Q6,DCRNN,pems-bay,NoAcc,6,12,False,1.583684325218201,3.454240560531616,3.1938064843416214,297281,18,39.89015832344691,0.6648359720574485,1.6631321907043457,2025-11-06T17:50:30.181327,test_results
gwnet_metr-la_Acc_NoSG_LSTM_Q12,GWNET,metr-la,Acc_NoSG,12,12,True,4.39693546295166,11.882421493530272,10.946781933307648,154488,79,232.29531635046004,3.871588605841001,3.943537473678589,2025-12-02T08:11:45.806766,test_results
gwnet_metr-la_Acc_NoSG_LSTM_Q3,GWNET,metr-la,Acc_NoSG,3,12,True,1.9794303178787231,6.45167875289917,4.770047590136528,153327,71,254.7756740609805,4.246261234349675,1.8634394407272337,2025-12-01T09:25:52.724823,test_results
